yngvar
pfeif
fergael
holl
onem
geirmund
arnstein
throst
maviel
ulfied
valbrand
hesta
torfin
ende
lodin
sigmund
svala
solvor
gudney
salbjorg
saski
grath
lilnir
thidrik
beigarth
meldun
eldgrim
hedinfrid
skœdir
humberg
freygerd
visäte
skamkel
kori
vindonya
yldrugrar
orri
skuti
ogn
finn
iric
erik
beckett
krista
ingigerd
sveni
tonna
hrinne
gorm
jobjorn
thorfrid
oswald
jagger
hauk
karla
marusar
vigfus
tekla
astvald
sveinborg
valberg
ils
gunnkel
ragna
svein
hallfrid
una
isgerd
asgerd
harek
fargrim
raghild
arnbjorg
gnupi
ingirid
hermund
ludin
tryggvi
yngvild
hallgrim
bard
hord
oddny
gavtvi
hrani
hjalti
nidbjorg
hermun
hrifla
tjorvi
vott
grieland
maria
ragnvald
kaupmann
klaus
hjort
jodis
kar
tola
farmann
helgi
thorodd
kolbein
eyrr
frida
hrein
geirny
gunvor
skuld
gunnkel
gavi
sall
bolverk
grelod
ragnar
halvdan
bior
elvar
otkatla
jermar
urværn
brynhild
tholvott
